icao,name,lat,lon
EFKA,Kauhava Airfield,63.127102,23.051399
EFPA,Pokka Airfield,68.150223,25.829372
EGFC,Cardiff Heliport,51.467499,-3.1375
EGPB,Sumburgh Airport,59.878899,-1.29556
EGWA,Marlborough Lines Heliport,51.207641,-1.529366
EIME,Casement Air Base,53.301700592,-6.451330184940001
ENJB,Jarlsberg Airfield,59.299232,10.369844
ENXH,Hod Platform,56.1758,3.45861
ES-0281,A Coruña Fire Station Heliport,43.45399,-7.85429
ES-0298,Punta de Europa Hospital Heliport,36.11066,-5.44163
ESKM,Mora Airport,60.957901,14.5114
EVLA,Liepāja International Airport,56.517502,21.096901
FR-0204,Toulon Sainte-Anne Army Teaching Hospital Heliport,43.133331,5.93
FR-0512,Malafretaz Ultralight Airfield,46.333642,5.140369
GB-0090,RAF Aldermaston,51.370253,-1.141376
GB-0152,RAF Mullaghmore,55.034,-6.5987
GB-0175,Channel Gliding Club,51.175729,1.277146
GB-0513,Firs Farm Airstrip,51.47222,-1.36332
GB-0663,Morriston Hospital Helipad,51.684048,-3.937201
GB-0740,Balgrummo Steading Airstrip,56.2178,-3.0207
HR-0013,Selca/Novo Selo Heliport,43.306488,16.850538
IT-0464,Cordovado Airfield,45.836519,12.892606
IT-0889,Elisuperficie fi Carcoforo,45.907032,8.052168
LB-0002,LAU Medical Center Rizk Hospital Helipad,33.885044,35.515414
LEVX,Vigo Airport,42.2318,-8.62677
LFBH,La Rochelle Île de Ré Airport,46.179199,-1.19528
LFBZ,Biarritz Pays Basque airport,43.468372,-1.523223
LHGR,Gyúró Airfield,47.391333,18.756989
LHLI,Lipót Szigetköz Airfield,47.8575,17.448333
LKSA,Staňkov Airfield,49.566515,13.04867
LSZE,Bad Ragaz Airfield,47.014904,9.481815
LV-8042,Rēzekne Airfield,56.556389,27.212778
LYTR,Trstenik Airfield,43.614189,21.030217
LZLU,Lučenec Airfield,48.339401,19.7358
NL-0012,VU University Medical Center Heliport,52.334367,4.859047
NL-0120,Willem III Kazerne Helipad,52.2015,5.92616
NL-0141,Haven-A Heliport,52.97222,4.10611
NL-0149,Vliegveld Numansdorp,51.753056,4.455278
