icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
LFBT,20.0,20.0,100.0,0.0,0.0,600.0,600.0,-5.999999999999972,27.5,37.5,176.25,231.0,-0.39357142857142857,-0.29375,-0.05416666666666667,-0.0375,-0.0008333333333329918,0.0,0.0,0.0,0.0,0.003333333333333381,0.0,0.0,0.0,0.0,0.0016666666666666904,60.0,246.00000000000009,90.0,0.0,95.0,5.0,0.0,21.0,21.0,100.0,0.0,0.0,,,-342.0,-304.0,7.0,16.0,240.0,,,,,,,,,,,,,,,,224.0,342.0,47.61904761904762,,100.0,0.0,0.0,0.0,nm_inferred,21.0,100.0,,Tarbes-Lourdes-Pyrénées Airport,43.178699,-0.006439
LFBZ,56.0,56.0,100.0,0.0,0.0,480.0,480.0,95.0,113.75,145.0,166.25,192.5,-0.51875,-0.42708333333333337,-0.3333333333333333,-0.25416666666666665,-0.1826388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,192.5,100.0,0.0,98.21428571428571,1.7857142857142858,0.0,57.0,57.0,100.0,0.0,0.0,,,-491.0,-364.0,-240.0,-223.0,-197.20000000000002,,,,,,,,,,,,,,,,240.0,491.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,57.0,100.0,,Biarritz Pays Basque airport,43.468372,-1.523223
LFCR,8.0,8.0,100.0,0.0,0.0,300.0,300.0,53.5,58.75,75.0,113.75,1168.9999999999993,-1.4933333333333332,-0.37916666666666665,-0.25,-0.19583333333333333,-0.14500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1168.9999999999993,100.0,0.0,100.0,0.0,0.0,7.0,7.0,100.0,0.0,0.0,,,-111.4,-107.0,-103.0,-90.5,-73.19999999999999,,,,,,,,,,,,,,,,103.0,111.4,100.0,,100.0,0.0,0.0,0.0,nm_inferred,8.0,100.0,,Rodez–Aveyron Airport,44.407902,2.48267
LFEC,3.0,0.0,0.0,0.0,0.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,nm_inferred,3.0,0.0,,Ouessant Airport,48.4632,-5.06358
LFGA,1.0,1.0,100.0,0.0,0.0,300.0,300.0,20.0,20.0,20.0,20.0,20.0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,2.0,2.0,0.0,,100.0,0.0,0.0,0.0,nm_inferred,1.0,100.0,,Colmar Houssen airport,48.109901,7.35901
LFGJ,5.0,5.0,100.0,0.0,0.0,600.0,600.0,39.0,60.0,85.0,90.0,105.0,-0.32666666666666666,-0.19166666666666668,-0.1,-0.1,-0.09666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,105.0,100.0,0.0,100.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,,,-92.4,-78.0,-76.0,-43.0,-34.6,,,,,,,,,,,,,,,,76.0,92.4,100.0,,80.0,20.0,0.0,0.0,nm_inferred,5.0,100.0,,Dole Tavaux Airport,47.038955,5.427589
LFHP,1.0,1.0,100.0,0.0,0.0,180.0,180.0,130.0,130.0,130.0,130.0,130.0,-0.7222222222222222,-0.7222222222222222,-0.7222222222222222,-0.7222222222222222,-0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,100.0,0.0,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,,-251.0,-251.0,-251.0,-251.0,-251.0,,,,,,,,,,,,,,,,251.0,251.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,1.0,100.0,,Le Puy-Loudes Airfield,45.0807,3.76289
LFJL,3.0,3.0,100.0,0.0,0.0,300.0,300.0,27.0,30.0,35.0,55.0,67.0,-0.22333333333333333,-0.18333333333333335,-0.11666666666666667,-0.1,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,67.0,100.0,0.0,100.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,,,-42.1,-39.25,-34.5,-29.75,-26.9,,,,,,,,,,,,,,,,34.5,42.1,100.0,,100.0,0.0,0.0,0.0,nm_inferred,3.0,100.0,,Metz-Nancy-Lorraine Airport,48.982101,6.25132
LFJR,2.0,2.0,100.0,0.0,0.0,600.0,597.5,1.0,10.0,25.0,40.0,49.0,-0.08166666666666667,-0.06666666666666667,-0.041666666666666664,-0.016666666666666663,-0.0016666666666666635,0.005000000000000001,0.0125,0.025,0.037500000000000006,0.045000000000000005,0.0008333333333333334,0.0020833333333333333,0.004166666666666667,0.00625,0.0075,30.0,50.0,50.0,0.0,100.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,,,-2013.7,-1683.25,-1132.5,-581.75,-251.29999999999995,,,,,,,,,,,,,,,,1132.5,2013.7,100.0,,100.0,0.0,0.0,0.0,nm_inferred,2.0,100.0,,Angers Marcé airport,47.560299,-0.312222
LFKB,92.0,89.0,96.73913043478261,0.0,0.0,360.0,360.0,104.0,125.0,150.0,180.0,222.00000000000003,-0.6,-0.4861111111111111,-0.3888888888888889,-0.2916666666666667,-0.24814814814814812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,222.00000000000003,100.0,0.0,96.73913043478261,0.0,0.0,91.0,89.0,97.8021978021978,0.0,0.0,,,-508.6,-428.0,-335.0,-238.0,-173.59999999999997,,,,,,,,,,,,,,,,335.0,508.6,98.87640449438203,,97.8021978021978,0.0,0.0,0.0,nm_inferred,92.0,97.2706641184902,,Bastia-Poretta International airport,42.5527,9.48373
