rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
22,EPMO,78.0,78.0,100.0,0.0,0.0,900.0,,-10.0,0.0,10.0,25.0,35.0,,,,,,,,,,,10.0,35.0,76.92307692307692,,96.15384615384616,3.8461538461538463,0.0,76.0,76.0,100.0,0.0,0.0,,,255.5,271.0,278.5,286.25,294.0,,,,,,,,,,,278.5,294.0,0.0,,96.05263157894737,3.9473684210526314,0.0,0.0,nm_inferred,78.0,100.0,,Warsaw Modlin Airport,52.451099,20.6518
23,RKSI,76.0,76.0,100.0,0.0,0.0,600.0,,29587.5,29820.0,30850.0,37505.0,38635.0,,,,,,,,,,,30850.0,38635.0,100.0,,38.1578947368421,61.8421052631579,0.0,68.0,68.0,100.0,0.0,0.0,,,-32362.2,-31902.0,-31368.0,-26936.0,-26292.0,,,,,,,,,,,31368.0,32362.2,100.0,,27.941176470588236,72.05882352941177,0.0,0.0,nm_inferred,76.0,100.0,,,,
24,VHHH,52.0,52.0,100.0,0.0,0.0,600.0,,29325.0,29815.0,35942.5,37880.0,39495.0,,,,,,,,,,,35942.5,39495.0,100.0,,42.30769230769231,57.69230769230769,0.0,74.0,74.0,100.0,0.0,0.0,,,-33323.0,-32596.25,-31303.5,-26747.75,-25672.4,,,,,,,,,,,31303.5,33323.0,100.0,,35.13513513513514,63.513513513513516,1.3513513513513513,0.0,nm_inferred,74.0,100.0,,,,
25,ZBAA,70.0,70.0,100.0,0.0,0.0,600.0,,22747.5,25150.0,29015.0,29915.0,33228.0,,,,,,,,,,,29015.0,33228.0,100.0,,32.857142857142854,67.14285714285714,0.0,74.0,74.0,100.0,0.0,0.0,,,-27745.3,-24826.75,-23216.5,-22714.0,-20153.0,,,,,,,,,,,23216.5,27745.3,100.0,,59.45945945945946,40.54054054054054,0.0,0.0,nm_inferred,74.0,100.0,,,,
26,KSFO,70.0,70.0,100.0,0.0,0.0,600.0,,28512.5,28802.5,29172.5,30018.75,30845.0,,,,,,,,,,,29172.5,30845.0,100.0,,82.85714285714286,17.142857142857142,0.0,73.0,73.0,100.0,0.0,0.0,,,-34110.8,-33305.0,-32874.0,-32281.0,-31903.8,,,,,,,,,,,32874.0,34110.8,100.0,,89.04109589041096,10.95890410958904,0.0,0.0,nm_inferred,73.0,100.0,,,,
27,WSSS,61.0,61.0,100.0,0.0,0.0,600.0,,30075.0,30425.0,33335.0,38370.0,38775.0,,,,,,,,,,,33335.0,38775.0,100.0,,49.18032786885246,50.81967213114754,0.0,73.0,73.0,100.0,0.0,0.0,,,-35934.0,-34778.0,-30965.0,-30508.0,-29926.0,,,,,,,,,,,30965.0,35934.0,100.0,,54.794520547945204,45.205479452054796,0.0,0.0,nm_inferred,73.0,100.0,,,,
28,DTMB,71.0,71.0,100.0,0.0,0.0,900.0,,920.0,1232.5,1650.0,1807.5,1975.0,,,,,,,,,,,1650.0,1975.0,100.0,,100.0,0.0,0.0,67.0,67.0,100.0,0.0,0.0,,,-1932.4,-1728.5,-1542.0,-1421.5,-1202.8,,,,,,,,,,,1542.0,1932.3999999999999,100.0,,100.0,0.0,0.0,0.0,nm_inferred,71.0,100.0,,Monastir Habib Bourguiba International Airport,35.75809860229492,10.75469970703125
29,OBBI,53.0,53.0,100.0,0.0,0.0,600.0,,1736.2,8443.0,10566.0,12380.0,13927.2,,,,,,,,,,,10566.0,13927.2,100.0,,16.9811320754717,83.01886792452831,0.0,71.0,71.0,100.0,0.0,0.0,,,-10799.0,-10124.0,-8171.0,-7267.0,-6546.0,,,,,,,,,,,8171.0,10799.0,100.0,,22.535211267605632,77.46478873239437,0.0,0.0,nm_inferred,71.0,100.0,,,,
30,LFKJ,67.0,67.0,100.0,0.0,0.0,300.0,,50.0,67.5,85.0,105.0,122.0,,,,,,,,,,,90.0,125.0,98.50746268656717,,95.5223880597015,2.985074626865672,1.492537313432836,65.0,65.0,100.0,0.0,0.0,,,90.4,157.0,171.0,191.0,208.60000000000002,,,,,,,,,,,172.0,208.60000000000002,7.6923076923076925,,98.46153846153847,0.0,1.5384615384615385,0.0,nm_inferred,67.0,100.0,,Ajaccio Napoléon Bonaparte airport,41.923599,8.80292
31,LFQQ,66.0,66.0,100.0,0.0,0.0,300.0,,30.0,35.0,50.0,65.0,82.5,,,,,,,,,,,50.0,82.5,100.0,,100.0,0.0,0.0,66.0,66.0,100.0,0.0,0.0,,,64.5,104.0,129.0,154.75,168.5,,,,,,,,,,,131.5,170.0,3.0303030303030303,,100.0,0.0,0.0,0.0,nm_inferred,66.0,100.0,,Lille Airport,50.566564,3.102429
