rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
216,LCPH,123.0,121.0,98.3739837398374,0.0,0.0,720.0,,-25.0,21.0,70.0,395.0,2255.0,,,,,,,,,,,,,,,,125.0,2255.0,86.77685950413223,,75.60975609756098,22.764227642276424,0.0,133.0,132.0,99.24812030075188,0.0,0.0,,,-959.9999999999998,-5.0,110.0,247.5,429.5,,,,,,,,,,,,,,,,207.5,960.0000000000009,26.515151515151516,,75.18796992481202,24.06015037593985,0.0,0.0,nm_inferred,133.0,98.81105202029464,,Paphos International Airport,34.717999,32.485699
217,LKMT,40.0,40.0,100.0,0.0,0.0,300.0,,54.5,65.0,77.5,110.0,580.0000000000005,,,,,,,,,,,,,,,,77.5,580.0000000000005,100.0,,92.5,7.5,0.0,40.0,39.0,97.5,0.0,0.0,,,-136.99999999999997,122.5,195.0,249.0,284.00000000000006,,,,,,,,,,,,,,,,205.0,322.0,15.384615384615385,,80.0,17.5,0.0,0.0,nm_inferred,40.0,98.75,,Leoš Janáček Airport Ostrava,49.696301,18.111099
218,ZSPD,114.0,111.0,97.36842105263158,0.0,0.0,600.0,,26354.0,31438.0,33006.0,37161.5,39760.0,,,,,,,,,,,,,,,,33006.0,39760.0,100.0,,31.57894736842105,65.78947368421052,0.0,128.0,128.0,100.0,0.0,0.0,,,-31989.6,-31092.75,-28732.5,-27121.25,-24896.8,,,,,,,,,,,,,,,,28732.5,31989.6,100.0,,47.65625,52.34375,0.0,0.0,nm_inferred,128.0,98.68421052631578,,,,
219,OMDW,32.0,32.0,100.0,0.0,0.0,600.0,,9361.5,10061.25,10525.0,10641.25,11505.5,,,,,,,,,,,,,,,,10525.0,11505.5,100.0,,78.125,18.75,3.125,38.0,37.0,97.36842105263158,0.0,0.0,,,-14970.2,-14138.0,-11121.0,-10213.0,-9831.4,,,,,,,,,,,,,,,,11121.0,14970.199999999999,100.0,,71.05263157894737,26.31578947368421,0.0,0.0,nm_inferred,38.0,98.68421052631578,,,,
220,LGIR,443.0,437.0,98.64559819413093,0.0,0.0,600.0,,365.0,400.0,435.0,480.0,777.0000000000002,,,,,,,,,,,,,,,,435.0,777.0000000000002,100.0,,85.77878103837472,12.866817155756207,0.0,463.0,457.0,98.70410367170626,0.0,0.0,,,-595.0,-441.0,-348.0,-233.0,-172.19999999999993,,,,,,,,,,,,,,,,348.0,595.0000000000002,99.56236323851203,,85.7451403887689,12.742980561555076,0.2159827213822894,0.0,nm_inferred,463.0,98.67485093291859,,Heraklion International Nikos Kazantzakis Airport,35.339699,25.1803
221,OTHH,185.0,180.0,97.29729729729729,0.0,0.0,600.0,,7998.0,8628.75,11037.5,12193.75,13303.0,,,,,,,,,,,,,,,,11037.5,13303.0,100.0,,44.86486486486486,52.432432432432435,0.0,180.0,180.0,100.0,0.0,0.0,,,-11862.199999999999,-10495.0,-7895.0,-6443.5,-6125.3,,,,,,,,,,,,,,,,7895.0,11862.199999999999,100.0,,71.66666666666667,28.333333333333332,0.0,0.0,nm_inferred,185.0,98.64864864864865,,,,
222,HKJK,37.0,36.0,97.29729729729729,0.0,0.0,600.0,,14152.5,14592.5,18312.5,23597.5,23960.0,,,,,,,,,,,,,,,,18312.5,23960.0,100.0,,86.48648648648648,10.81081081081081,0.0,26.0,26.0,100.0,0.0,0.0,,,-18240.5,-17783.5,-16299.0,-15927.75,-15355.5,,,,,,,,,,,,,,,,16299.0,18240.5,100.0,,88.46153846153847,11.538461538461538,0.0,0.0,nm_inferred,37.0,98.64864864864865,,,,
223,LEVX,37.0,36.0,97.29729729729729,0.0,0.0,300.0,,125.0,143.75,165.0,190.0,205.0,,,,,,,,,,,,,,,,165.0,205.0,100.0,,94.5945945945946,2.7027027027027026,0.0,36.0,36.0,100.0,0.0,0.0,,,-304.0,-144.75,-107.0,-71.25,-26.0,,,,,,,,,,,,,,,,107.0,304.0,94.44444444444444,,91.66666666666667,8.333333333333334,0.0,0.0,nm_inferred,37.0,98.64864864864865,,Vigo Airport,42.2318,-8.62677
224,LFPB,253.0,248.0,98.02371541501977,0.0,0.0,600.0,,-154.49999999999994,5.0,25.0,45.0,65.0,,,,,,,,,,,,,,,,40.0,356.0000000000002,79.83870967741936,,84.18972332015811,12.648221343873518,1.1857707509881423,235.0,233.0,99.14893617021276,0.0,0.0,,,251.2,270.0,288.0,307.0,327.6,,,,,,,,,,,,,,,,289.0,328.8,1.7167381974248928,,91.06382978723404,3.8297872340425534,4.25531914893617,0.0,nm_inferred,253.0,98.58632579261626,,Paris-Le Bourget International Airport,48.962276,2.436539
225,LECO,35.0,34.0,97.14285714285714,0.0,0.0,300.0,,-604.5,-526.25,-457.5,-347.5,-227.00000000000003,,,,,,,,,,,,,,,,457.5,604.5,0.0,,97.14285714285714,0.0,0.0,34.0,34.0,100.0,0.0,0.0,,,430.3,498.5,540.0,570.0,613.4,,,,,,,,,,,,,,,,540.0,613.4,0.0,,91.17647058823529,5.882352941176471,2.9411764705882355,0.0,nm_inferred,35.0,98.57142857142857,,A Coruña Airport,43.302101,-8.37726
