rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon,measured
47,BIKF,254.0,253.0,99.60629921259843,0.0,99.60629921259843,660.0,526.0,-214.99999999999994,10.0,4995.0,5230.0,5574.0,-10.074639260874077,-8.425,-6.226190476190476,-0.021739130434782608,0.30692484895188615,0.0,0.0,0.16666666666666666,0.4,0.84875,0.0,0.0,0.14084507042253522,0.3813038130381304,0.8249305555555555,4995.0,5574.0,76.6798418972332,5.138339920948616,35.039370078740156,64.56692913385827,0.0,258.0,258.0,100.0,0.0,100.0,360.0,5.0,-5222.5,-4913.75,-4650.0,310.0,556.5,-24.544444444444444,-16.008333333333333,-11.604919678714861,1.0954861111111112,1.7729166666666667,0.6875,0.9,1.0,1.0,1.0,0.6713216957605985,0.8689516129032258,1.0,1.0,1.0,4650.0,5222.5,64.34108527131782,69.37984496124031,36.04651162790697,63.95348837209303,0.0,100.0,apdf,258.0,99.80314960629921,0.5692996562049463,Keflavik International Airport,63.985001,-22.6056,yes
48,LEMD,1827.0,1825.0,99.89053092501368,0.0,99.72632731253421,982.0,780.0,-550.0,-345.0,-187.0,4.0,18.0,-0.018656813736144313,-0.004464285714285714,0.18134715025906736,0.35185185185185186,0.559460147695442,0.0,0.0,0.19444444444444445,0.35294117647058826,0.5185185185185185,0.0,0.0,0.1750841750841751,0.32805429864253394,0.4887553714830157,212.0,617.0,32.54794520547945,0.547945205479452,92.11822660098522,7.553366174055829,0.21893814997263272,1813.0,1799.0,99.22779922779922,0.0,98.73138444567016,474.0,40.0,269.0,279.0,460.0,552.0,693.0,0.4908187331536388,0.7131641207885023,0.9342989628423792,1.3357372350507362,1.8112495612495612,0.5392857142857143,0.7241379310344828,0.9090909090909091,1.0,1.0,0.5327805537263077,0.7195728699399639,0.9200180233923325,0.991478765621508,0.9978424399281278,466.0,734.0,2.445803224013341,45.4954954954955,87.92057363485935,11.141753998896856,0.1654715940430226,99.72632731253421,apdf,1827.0,99.55916507640646,0.5451373027682913,Adolfo Suárez Madrid–Barajas Airport,40.493407,-3.572249,yes
49,EDDW,77.0,75.0,97.40259740259741,0.0,98.7012987012987,523.0,458.0,-162.79999999999998,-98.5,-38.0,3.5,7.6000000000000085,-0.014422485726833552,-0.005562696076398966,0.07253886010362694,0.17281790765086524,0.2429705324721232,0.0,0.0,0.13333333333333333,0.2361111111111111,0.3103448275862069,0.0,0.0,0.08849557522123894,0.19066264660616675,0.2705713562325939,59.0,250.40000000000003,32.0,0.0,88.31168831168831,9.090909090909092,0.0,75.0,72.0,96.0,0.0,100.0,243.0,5.0,126.60000000000001,273.0,282.5,300.25,378.3999999999999,0.3311708542713568,0.8634062643942884,1.1768179712830014,1.5288851351351351,1.902863555452364,0.6291666666666667,0.8888888888888888,1.0,1.0,1.0,0.5869115255454411,0.8857258499730167,0.9895193646114796,1.0,1.0100869114769195,283.0,462.3,5.555555555555555,68.05555555555556,88.0,8.0,0.0,100.0,apdf,77.0,96.7012987012987,0.5212272235061313,Bremen Airport,53.046786,8.78932,yes
50,EDDB,774.0,760.0,98.19121447028424,0.0,99.6124031007752,583.0,464.0,-580.0,-344.5,-11.0,9.0,19.0,-0.03972415365325428,-0.015199261943812496,0.01834862385321101,0.5678172557682867,0.9344044096520367,0.0,0.0,0.1,0.5845588235294118,0.9473684210526315,0.0,0.0,0.04249641224979767,0.5647323752993856,0.9191870144284129,80.5,842.1000000000009,44.3421052631579,7.368421052631579,86.17571059431525,11.11111111111111,0.9043927648578811,788.0,774.0,98.22335025380711,0.0,99.74619289340102,320.0,5.0,185.60000000000002,300.0,437.0,519.5,612.0,0.5430457500698018,0.8638888888888889,1.2973684210526315,1.9923076923076923,2.4541125541125544,0.7158730158730159,0.9,1.0,1.0,1.0,0.7192909569311731,0.9021406727828746,0.9933774834437087,1.0,1.0076045627376427,456.0,680.5000000000002,5.943152454780361,69.85769728331178,85.91370558375634,11.421319796954315,0.8883248730964467,99.74619289340102,apdf,788.0,98.20728236204567,0.5086518008292221,Berlin Brandenburg Airport,52.361738,13.502341,yes
51,ELLX,314.0,314.0,100.0,0.0,99.36305732484077,660.0,590.0,-303.5,-25.0,0.0,20.0,40.0,-0.059259259259259255,-0.03125,-0.0,0.041666666666666664,0.44696969696969696,0.0,0.0,0.027777777777777776,0.07142857142857142,0.45151515151515137,0.0,0.0,0.005381944444444444,0.04513888888888889,0.41474358974358966,20.0,397.4999999999997,51.59235668789809,0.6369426751592356,86.30573248407643,13.05732484076433,0.6369426751592356,312.0,311.0,99.67948717948718,0.0,99.35897435897436,300.0,5.0,175.0,335.0,430.0,482.5,540.0,0.6340277777777777,1.0555555555555556,1.2916666666666667,1.8541666666666667,2.1875,0.8977777777777778,1.0,1.0,1.0,1.0,0.8611111111111112,1.0,1.0,1.0,1.0,445.0,615.0,7.07395498392283,86.73139158576052,84.61538461538461,13.782051282051283,1.2820512820512822,99.36305732484077,apdf,314.0,99.83974358974359,0.5018853777154558,Luxembourg-Findel International Airport,49.626845,6.212134,yes
52,EGGW,590.0,590.0,100.0,0.0,99.66101694915255,840.0,840.0,20.0,30.0,50.0,70.0,735.5000000000001,-1.02092803030303,-0.13062169312169314,-0.057291666666666664,-0.03333333333333333,-0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,735.5000000000001,100.0,0.0,72.71186440677967,26.271186440677965,1.0169491525423728,581.0,581.0,100.0,0.0,99.82788296041308,300.0,5.0,-770.0,255.0,300.0,320.0,335.0,-2.8541666666666665,0.5810185185185186,0.95,1.2291666666666667,1.6388888888888888,0.6666666666666666,0.8571428571428571,1.0,1.0,1.0,0.6385416666666667,0.8214285714285714,1.0,1.0,1.0,315.0,770.0,19.44922547332186,63.96551724137931,73.66609294320138,25.645438898450948,0.6884681583476764,99.82788296041308,apdf,590.0,100.0,0.5,London Luton Airport,51.874699,-0.368333,yes
53,LIPE,390.0,390.0,100.0,0.0,95.8974358974359,600.0,600.0,-6.0,29.0,54.0,169.0,554.0,-0.9233333333333333,-0.2816666666666667,-0.07564102564102564,-0.03533876955714665,0.006625000000000086,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.017380952380952542,61.0,555.5000000000003,88.97435897435898,0.0,88.2051282051282,11.538461538461538,0.2564102564102564,392.0,392.0,100.0,0.0,96.1734693877551,229.0,5.0,198.4,241.75,262.0,273.0,285.90000000000003,0.5555596785211298,0.8255813953488372,1.1085972850678734,1.464705882352941,1.9574603174603176,0.6092307692307692,0.8333333333333334,1.0,1.0,1.0,0.6011392116655274,0.8566433566433566,1.0,1.0106382978723405,1.0196106844418682,263.0,290.90000000000003,3.061224489795918,67.10875331564986,93.11224489795919,6.63265306122449,0.25510204081632654,96.1734693877551,apdf,392.0,100.0,0.5,Bologna Guglielmo Marconi Airport,44.5354,11.2887,yes
54,LPPR,557.0,556.0,99.82046678635548,0.0,99.46140035906643,607.0,630.0,20.0,35.0,50.0,65.0,75.0,-0.15476190476190477,-0.11136023916292974,-0.07798983564013841,-0.05053856802836742,-0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,75.0,99.82014388489209,0.0,92.45960502692998,7.1813285457809695,0.17953321364452424,540.0,540.0,100.0,0.0,100.0,360.0,5.0,414.5,535.0,600.0,675.0,775.0,1.0977075040542534,1.4259826030927836,1.6370915032679738,1.8517978287636507,2.012987421383648,1.0,1.0,1.0,1.0,1.0,0.9880952380952381,1.0,1.0,1.006028894748407,1.0101183063511832,600.0,790.0,0.5555555555555556,93.33333333333333,93.88888888888889,6.111111111111111,0.0,100.0,apdf,557.0,99.91023339317775,0.49955116696588875,Francisco de Sá Carneiro Airport,41.2481002808,-8.68138980865,yes
55,LIME,519.0,518.0,99.8073217726397,0.0,98.65125240847784,720.0,720.0,0.0,10.0,30.0,45.0,96.50000000000006,-0.11666666666666667,-0.06215277777777778,-0.034722222222222224,-0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,107.50000000000028,92.08494208494209,0.0,88.82466281310212,9.826589595375722,1.1560693641618498,520.0,520.0,100.0,0.0,100.0,240.0,5.0,175.0,245.0,265.0,290.0,300.0,0.539351851851852,0.7833333333333333,1.0,1.2708333333333333,1.5555555555555556,0.625,0.875,1.0,1.0,1.0,0.6,0.8298611111111112,1.0,1.0,1.0,270.0,305.0,3.4615384615384617,63.26923076923077,90.1923076923077,9.23076923076923,0.5769230769230769,100.0,apdf,520.0,99.90366088631984,0.4995183044315992,Il Caravaggio International Airport,45.669362,9.708851,yes
56,ESGG,209.0,209.0,100.0,0.0,100.0,540.0,540.0,30.0,45.0,55.0,70.0,90.0,-0.19444444444444445,-0.14814814814814814,-0.1111111111111111,-0.075,-0.05284090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,95.0,98.08612440191388,0.0,92.82296650717703,7.177033492822966,0.0,210.0,209.0,99.52380952380952,0.0,100.0,240.0,5.0,123.0,250.0,270.0,290.0,300.0,0.4791666666666667,0.9,1.0833333333333333,1.2291666666666667,1.3944444444444448,0.8333333333333334,1.0,1.0,1.0,1.0,0.7611111111111111,0.95,1.0,1.0,1.0,270.0,305.0,7.177033492822966,76.07655502392345,90.47619047619048,8.571428571428571,0.47619047619047616,100.0,apdf,210.0,99.76190476190476,0.4988095238095238,Göteborg Landvetter Airport,57.6628,12.2798,yes
57,LSGG,609.0,607.0,99.67159277504105,0.0,99.50738916256158,660.0,600.0,-239.0,20.0,40.0,60.0,75.0,-0.15476190476190477,-0.09375,-0.06060606060606061,-0.02532051282051282,0.41166666666666646,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.37962962962962965,50.0,370.0,85.00823723228996,0.0,92.28243021346469,6.568144499178982,0.8210180623973727,600.0,599.0,99.83333333333333,0.0,99.83333333333333,240.0,5.0,280.0,300.0,330.0,415.0,481.0000000000002,0.8194444444444444,1.25,1.6458333333333333,2.0833333333333335,2.4583333333333335,0.9166666666666666,1.0,1.0,1.0,1.0,0.8611111111111112,1.0,1.0,1.0,1.0,335.0,491.0000000000002,2.003338898163606,87.29096989966555,91.83333333333333,7.333333333333333,0.6666666666666666,99.83333333333333,apdf,609.0,99.75246305418719,0.49876231527093595,Geneva International Airport,46.238098,6.10895,yes
58,LFSB,345.0,344.0,99.71014492753623,1.0,99.42028985507247,720.0,720.0,15.0,25.0,40.0,55.0,70.0,-0.12037037037037036,-0.08333333333333333,-0.05357142857142857,-0.030303030303030304,-0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,70.0,97.09302325581395,0.0,90.72463768115942,8.405797101449275,0.5797101449275363,344.0,343.0,99.70930232558139,0.0,99.4186046511628,180.0,5.0,177.00000000000003,270.0,290.0,312.5,325.0,0.763095238095238,1.1892361111111112,1.4722222222222223,1.6111111111111112,1.75,0.9166666666666666,1.0,1.0,1.0,1.0,0.9041666666666667,1.0,1.0,1.0,1.0,295.0,335.0,6.41399416909621,88.30409356725146,89.53488372093024,10.174418604651162,0.0,99.42028985507247,apdf,345.0,99.70972362655881,0.49854861813279405,EuroAirport Basel–Mulhouse–Freiburg,47.60068,7.521117,yes
59,LFML,450.0,449.0,99.77777777777777,0.0,98.88888888888889,660.0,660.0,10.0,20.0,35.0,55.0,65.0,-0.09848484848484848,-0.08333333333333333,-0.05303030303030303,-0.030303030303030304,-0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,65.0,95.99109131403118,0.0,94.66666666666667,4.222222222222222,0.8888888888888888,450.0,448.0,99.55555555555556,0.0,99.77777777777777,300.0,5.0,340.0,370.0,415.0,505.0,576.5,1.0950000000000002,1.2166666666666666,1.3833333333333333,1.6541666666666666,1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,417.5,581.5,1.1160714285714286,94.86607142857143,93.11111111111111,5.111111111111111,1.3333333333333333,99.77777777777777,apdf,450.0,99.66666666666666,0.4983333333333333,Marseille Provence Airport,43.438088,5.2125,yes
60,EVRA,283.0,282.0,99.64664310954063,0.0,98.23321554770318,720.0,720.0,30.500000000000007,45.0,65.0,85.0,3444.5,-4.74,-0.16435185185185186,-0.09722222222222222,-0.06666666666666667,-0.044487179487179486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3444.5,100.0,0.0,72.43816254416961,26.85512367491166,0.35335689045936397,281.0,280.0,99.644128113879,0.0,93.23843416370107,240.0,5.0,-3225.0,235.0,270.0,290.0,305.0,-14.50125,0.6612103174603174,1.1458333333333333,1.5208333333333333,1.7208333333333334,0.717857142857143,1.0,1.0,1.0,1.0,0.6694444444444444,1.0,1.0,1.0,1.0,280.0,3224.9999999999995,18.928571428571427,79.38931297709924,77.93594306049822,21.352313167259787,0.35587188612099646,98.23321554770318,apdf,283.0,99.64538561170983,0.4982269280585491,Riga International Airport,56.920752,23.970711,yes
61,EDDM,1400.0,1395.0,99.64285714285714,0.0,99.78571428571429,750.0,600.0,-538.0,-310.0,15.0,45.0,65.0,-0.13541666666666666,-0.0625,-0.016666666666666666,0.375,0.5967948717948719,0.0,0.0,0.0,0.3888888888888889,0.5610294117647064,0.0,0.0,0.0,0.36666666666666664,0.5416666666666666,85.0,838.0000000000007,56.91756272401434,0.7885304659498208,86.92857142857143,12.428571428571429,0.2857142857142857,1397.0,1390.0,99.49892627057982,0.0,99.85683607730851,360.0,5.0,271.0000000000002,321.25,465.0,585.0,675.5000000000007,0.626851851851852,0.9861111111111112,1.3685515873015874,1.6398809523809523,1.939583333333333,0.8,1.0,1.0,1.0,1.0,0.785,1.0,1.0,1.0,1.0,495.0,760.0,5.827338129496403,80.61959654178675,89.19112383679312,10.021474588403722,0.2863278453829635,99.85683607730851,apdf,1400.0,99.57089170671847,0.49785445853359234,Munich Airport,48.353802,11.7861,yes
62,EGBB,476.0,473.0,99.36974789915966,0.0,99.78991596638656,778.0,750.0,-1.7999999999999972,4.0,9.0,424.0,984.0,-1.481013222735077,-0.48924122310305773,-0.0107095046854083,-0.0048134777376654635,0.002080390535229416,0.0,0.0,0.0,0.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.3585121047643664,10.0,1197.2000000000005,88.58350951374207,0.0,67.43697478991596,30.672268907563026,1.2605042016806722,461.0,459.0,99.56616052060737,0.0,99.56616052060737,221.0,5.0,-1424.6,37.0,274.0,282.0,535.2,-7.061111111111111,0.1037463976945245,1.2445652173913044,1.7388535031847134,2.2703448275862073,0.6666666666666666,0.9090909090909091,1.0,1.0,1.0,0.6367262007976418,0.9364548494983278,0.9941520467836257,1.003787878787879,1.0125013076681662,281.0,1477.6,24.18300653594771,73.96061269146608,70.28199566160521,27.982646420824295,1.3015184381778742,99.78991596638656,apdf,476.0,99.46795420988352,0.4944313513356783,Birmingham Airport,52.453899,-1.74803,yes
