rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_capture_p10,dep_capture_p25,dep_capture_p50,dep_capture_p75,dep_capture_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_capture_p10,arr_capture_p25,arr_capture_p50,arr_capture_p75,arr_capture_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,name,lat,lon,coverage_index
22,LZIB,105.0,103.0,98.0952380952381,0.0,87.61904761904762,600.0,-707.0,-566.0,-406.0,-203.5,-116.0,0.18205555555555555,0.37027777777777776,0.7989583333333333,0.8949242424242425,1.0,431.0,761.9999999999999,6.796116504854369,18.88888888888889,87.61904761904762,3.8095238095238093,6.666666666666667,105.0,103.0,98.0952380952381,0.0,86.66666666666667,240.0,433.2,478.0,542.0,605.0,903.7999999999998,1.0,1.0,1.0,1.0,1.0,542.0,903.7999999999998,0.0,98.88888888888889,90.47619047619048,2.857142857142857,4.761904761904762,87.61904761904762,apdf,105.0,98.0952380952381,M. R. Štefánik Airport,48.1702,17.2127,0.8823462301587301
23,LEBL,1581.0,1574.0,99.55724225173941,0.0,99.68374446552815,920.0,-1170.1,-896.0,-691.0,-391.0,-171.0,0.2519769763960886,0.49337260677466865,0.6666666666666666,0.9402985074626866,1.0,696.0,1182.4,4.002541296060991,22.753346080305928,96.7741935483871,2.4035420619860846,0.3795066413662239,1579.0,1575.0,99.74667511082964,0.0,99.68334388853705,192.0,296.0,366.5,462.0,546.0,638.0,1.0,1.0,1.0,1.0,1.0,463.0,642.0,0.5714285714285714,96.36942675159236,95.37682077264091,3.9898670044331856,0.3799873337555415,99.68374446552815,apdf,1581.0,99.65195868128453,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846,0.8304329890107043
24,EDDK,505.0,496.0,98.21782178217822,0.0,99.8019801980198,776.0,-1103.0,-785.75,-498.5,-200.75,1.0,0.0,0.3100061973963513,0.651414309484193,0.9140411530754751,1.0,518.5,1123.5,10.685483870967742,16.565656565656564,91.48514851485149,6.336633663366337,0.39603960396039606,498.0,489.0,98.19277108433735,0.0,99.79919678714859,384.0,332.6,418.0,536.0,681.0,802.4,0.9831914404049701,1.0,1.0,1.0,1.0,539.0,824.9999999999999,2.2494887525562373,90.57377049180327,91.36546184738955,6.42570281124498,0.40160642570281124,99.8019801980198,apdf,505.0,98.20529643325779,Cologne Bonn Airport,50.865898,7.14274,0.8108881589850944
25,EDDV,210.0,209.0,99.52380952380952,0.0,99.52380952380952,620.5,-737.6,-531.0,-306.0,-17.0,11.200000000000017,0.0,0.03470095256828144,0.4953723243895086,0.8995392628205128,1.0,325.0,753.6000000000001,18.660287081339714,17.78846153846154,93.33333333333333,4.761904761904762,1.4285714285714286,202.0,201.0,99.5049504950495,1.0,99.00990099009901,364.0,308.0,478.0,596.0,706.0,808.0,0.8562700534759359,1.0,1.0,1.0,1.0,599.0,808.0,1.9900497512437811,86.93467336683418,96.03960396039604,1.9801980198019802,1.4851485148514851,99.52380952380952,apdf,210.0,99.51438000942952,Hannover Airport,52.461102,9.68508,0.7440552487244074
26,EDDH,537.0,533.0,99.25512104283054,0.0,100.0,557.0,-674.8,-487.0,-251.0,-100.0,-16.0,0.030816027928228563,0.19131832797427653,0.44813278008298757,0.9018518518518519,1.0,263.0,707.0,3.377110694183865,17.26078799249531,92.36499068901304,5.772811918063315,1.1173184357541899,532.0,526.0,98.87218045112782,0.0,100.0,269.5,284.0,402.25,491.0,575.75,654.0,1.0,1.0,1.0,1.0,1.0,499.5,675.5,1.9011406844106464,90.68441064638783,91.9172932330827,5.451127819548872,1.5037593984962405,100.0,apdf,537.0,99.06365074697918,Hamburg Helmut Schmidt Airport,53.630402,9.98823,0.7172865998069654
27,EGLC,198.0,198.0,100.0,0.0,100.0,360.0,-286.0,-204.75,-131.0,-86.0,-41.0,0.1433111111111111,0.2529166666666667,0.3476190476190476,0.45952380952380956,0.5856250000000001,131.0,287.50000000000006,2.525252525252525,1.5151515151515151,98.48484848484848,1.5151515151515151,0.0,189.0,189.0,100.0,0.0,100.0,180.0,280.6,362.0,411.0,464.0,521.0,1.0,1.0,1.0,1.0,1.0,411.0,521.0,0.0,93.65079365079364,98.94179894179894,1.0582010582010581,0.0,100.0,apdf,198.0,100.0,London City Airport,51.505299,0.055278,0.6738095238095239
28,LIML,459.0,452.0,98.47494553376906,0.0,100.0,780.0,-580.0,-397.25,-241.0,25.25,49.0,0.0,0.0,0.3046536796536797,0.5751116071428571,0.792939393939394,241.0,581.0,36.72566371681416,5.088495575221239,97.38562091503267,0.8714596949891068,0.2178649237472767,465.0,458.0,98.49462365591398,0.0,100.0,300.0,278.4,305.0,333.0,369.0,447.20000000000005,0.7908333333333333,1.0,1.0,1.0,1.0,333.0,450.0,1.5283842794759825,82.53275109170306,95.91397849462365,1.5053763440860215,1.075268817204301,100.0,apdf,465.0,98.48478459484153,Milano Linate Airport,45.445099,9.27674,0.6424426830578001
29,LFMN,705.0,698.0,99.00709219858156,0.0,100.0,660.0,-544.0,-294.75,-181.0,-77.25,14.0,0.0,0.12924679487179488,0.28527777777777774,0.4405776515151515,0.8101851851851859,181.0,594.0000000000007,13.753581661891117,7.163323782234957,93.90070921985816,3.6879432624113475,1.4184397163120568,707.0,700.0,99.00990099009901,0.0,100.0,240.0,446.9,525.0,575.0,654.25,776.1,1.0,1.0,1.0,1.0,1.0,576.0,779.0,0.8571428571428571,96.28571428571429,93.4936350777935,3.818953323903819,1.6973125884016973,100.0,apdf,707.0,99.00849659434029,Nice-Côte d'Azur Airport,43.658401,7.21587,0.6362671024194618
30,LEMG,842.0,840.0,99.7624703087886,0.0,99.40617577197149,705.0,-479.29999999999995,-264.0,-105.5,4.0,8.0,0.0,0.0,0.15737704918032788,0.3583669472553357,0.7789365363802495,110.0,497.20000000000005,35.714285714285715,4.790419161676646,97.26840855106889,2.375296912114014,0.1187648456057007,858.0,854.0,99.53379953379954,0.0,99.18414918414918,276.0,291.0,380.0,414.0,486.75,560.7,0.8191407117785579,1.0,1.0,1.0,1.0,415.0,562.0,0.936768149882904,83.3530106257379,96.38694638694639,3.0303030303030303,0.11655011655011654,99.40617577197149,apdf,858.0,99.64813492129406,Málaga-Costa del Sol Airport,36.6749,-4.49911,0.5766523217576526
31,EDDW,88.0,88.0,100.0,0.0,97.72727272727273,540.0,-204.2,-141.0,-84.5,-22.5,5.0,0.0,0.043469268982145454,0.15239759972139624,0.23967296159719892,0.31310736440800224,89.5,249.0999999999999,13.636363636363637,3.488372093023256,94.31818181818181,4.545454545454546,1.1363636363636365,86.0,86.0,100.0,0.0,100.0,209.5,242.5,278.25,288.0,302.75,329.5,0.8807357859531773,1.0,1.0,1.0,1.0,288.5,333.0,1.1627906976744187,88.37209302325581,94.18604651162791,4.651162790697675,1.1627906976744187,100.0,apdf,88.0,100.0,Bremen Airport,53.046786,8.78932,0.5761987998606981
