icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_capture_p10,dep_capture_p25,dep_capture_p50,dep_capture_p75,dep_capture_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_capture_p10,arr_capture_p25,arr_capture_p50,arr_capture_p75,arr_capture_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
LOWG,56.0,56.0,100.0,0.0,0.0,180.0,-2128.5,-578.5,-456.0,-354.75,-238.5,,,,,,456.0,2128.5,1.7857142857142858,,89.28571428571429,1.7857142857142858,8.928571428571429,53.0,52.0,98.11320754716981,0.0,0.0,,415.4,476.5,511.0,608.75,898.2999999999998,,,,,,511.0,898.2999999999998,0.0,,90.56603773584905,1.8867924528301887,5.660377358490566,0.0,nm_inferred,56.0,99.0566037735849,,Graz Airport,46.9911,15.4396
LOWI,33.0,32.0,96.96969696969697,0.0,0.0,360.0,-133.5,11.0,39.0,54.0,151.00000000000017,,,,,,46.5,194.0,78.125,,87.87878787878788,6.0606060606060606,3.0303030303030303,43.0,40.0,93.02325581395348,0.0,0.0,,-6.199999999999996,155.0,283.0,333.5,405.40000000000003,,,,,,283.0,405.40000000000003,15.0,,88.37209302325581,2.3255813953488373,2.3255813953488373,0.0,nm_inferred,43.0,94.99647639182523,,Innsbruck Airport,47.260201,11.344
LOWK,19.0,19.0,100.0,0.0,0.0,180.0,113.0,184.0,229.0,251.5,357.0,,,,,,229.0,357.0,100.0,,94.73684210526316,0.0,5.2631578947368425,18.0,18.0,100.0,0.0,0.0,,-139.0,-94.5,-46.5,-0.5,39.00000000000001,,,,,,66.5,139.00000000000006,72.22222222222223,,100.0,0.0,0.0,0.0,nm_inferred,19.0,100.0,,Klagenfurt Airport,46.642502,14.3377
LOWL,37.0,36.0,97.29729729729729,0.0,0.0,300.0,-676.0,-537.25,-233.5,-131.0,31.5,,,,,,233.5,676.0,22.22222222222222,,91.89189189189189,2.7027027027027026,2.7027027027027026,34.0,33.0,97.05882352941177,0.0,0.0,,340.0,468.0,561.0,613.0,655.8,,,,,,569.0,658.8,3.0303030303030303,,85.29411764705883,8.823529411764707,2.9411764705882355,0.0,nm_inferred,37.0,97.17806041335453,,Linz-Hörsching Airport,48.235362,14.188128
LOWS,96.0,94.0,97.91666666666667,0.0,0.0,300.0,-78.0,15.25,34.0,57.75,64.0,,,,,,44.0,108.90000000000002,85.1063829787234,,93.75,1.0416666666666667,3.125,95.0,94.0,98.94736842105263,0.0,0.0,,251.30000000000004,305.0,329.5,369.5,419.40000000000003,,,,,,330.5,429.3,2.127659574468085,,90.52631578947368,3.1578947368421053,5.2631578947368425,0.0,nm_inferred,96.0,98.43201754385964,,Salzburg Airport,47.793301,13.0043
LOWW,1151.0,1147.0,99.65247610773241,0.0,100.0,600.0,-2745.0,-996.0,-641.0,-441.0,-291.0,0.5648888888888889,0.8595238095238096,0.9708333333333333,1.0,1.0,646.0,2795.000000000001,1.5693112467306016,55.27462946817786,90.87749782797567,7.298001737619462,1.476976542137272,1124.0,1121.0,99.73309608540926,0.0,100.0,300.0,482.0,559.0,670.0,899.0,2294.0,1.0,1.0,1.0,1.0,1.0,676.0,2374.0,1.0704727921498662,97.76984834968778,91.19217081850533,7.473309608540926,1.0676156583629892,100.0,apdf,1151.0,99.69278609657084,0.9823893296599584,Vienna International Airport,48.110298,16.5697
LPAZ,17.0,17.0,100.0,0.0,0.0,360.0,101.0,129.0,159.0,244.0,293.0,,,,,,159.0,293.0,100.0,,88.23529411764706,11.764705882352942,0.0,14.0,14.0,100.0,0.0,0.0,,-289.29999999999995,33.75,65.0,159.5,200.9,,,,,,121.0,367.9000000000002,14.285714285714286,,100.0,0.0,0.0,0.0,nm_inferred,17.0,100.0,,Santa Maria Airport,36.97140121459961,-25.17060089111328
LPBJ,3.0,3.0,100.0,0.0,0.0,300.0,-3.0,1.5,9.0,309.0,489.0,,,,,,9.0,489.0,66.66666666666667,,66.66666666666667,33.333333333333336,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,nm_inferred,3.0,100.0,,Beja Airport / Airbase,38.078899,-7.9324
LPCS,26.0,26.0,100.0,0.0,0.0,360.0,-4123.5,-437.25,-36.0,22.75,54.0,,,,,,86.5,4123.5,42.30769230769231,,76.92307692307692,0.0,23.076923076923077,25.0,25.0,100.0,0.0,0.0,,296.0,369.0,425.0,518.0,4452.000000000001,,,,,,425.0,4452.000000000001,0.0,,76.0,0.0,24.0,0.0,nm_inferred,26.0,100.0,,Cascais Airport,38.724998,-9.35523
LPEV,1.0,1.0,100.0,0.0,0.0,300.0,-481.0,-481.0,-481.0,-481.0,-481.0,,,,,,481.0,481.0,0.0,,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,-6156.0,-6156.0,-6156.0,-6156.0,-6156.0,,,,,,6156.0,6156.0,100.0,,0.0,100.0,0.0,0.0,nm_inferred,1.0,100.0,,Évora Airfield,38.533501,-7.88964
